customer_id,gender,is_senior,has_partner,has_dependents,months_as_customer,has_phone_service,has_multiple_lines,primary_product,has_security_product,has_backup_product,has_protection_plan,has_support_plan,has_streaming_tv,has_streaming_movies,account_type,is_paperless,payment_method,monthly_transaction_volume,total_transaction_volume,churned,revenue_per_month,charge_consistency,is_high_value,is_early_stage,tenure_group,product_adoption_score,is_multi_product,is_autopay
7590-VHVEG,Female,0,1,0,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,0,29.85,1.0,0,1,early,1,0,0
5575-GNVDE,Male,0,0,0,34,1,No,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,0,55.57,1.0248,0,0,established,2,0,0
3668-QPYBK,Male,0,0,0,2,1,No,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,1,54.08,0.9957,0,1,early,2,0,0
7795-CFOCW,Male,0,0,0,45,0,No phone service,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,0,40.91,1.034,0,0,established,3,1,1
9237-HQITU,Female,0,0,0,2,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,1,75.82,0.9325,0,1,early,0,0,0
9305-CDSKC,Female,0,0,0,8,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,1,102.56,0.9716,1,1,early,3,1,0
1452-KIOVK,Male,0,0,1,22,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,88.61,1.0055,0,0,growing,2,0,1
6713-OKOMC,Female,0,0,0,10,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,0,30.19,0.9854,0,1,early,1,0,0
7892-POOKP,Female,0,1,0,28,1,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,1,108.79,0.9633,1,0,established,4,1,0
6388-TABGU,Male,0,0,1,62,1,No,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,0,56.26,0.998,0,0,loyal,2,0,1
9763-GRSKD,Male,0,1,1,13,1,No,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,0,45.19,1.1053,0,0,growing,1,0,0
